0:0:0:0:0:0:0:1 - - [13/Nov/2019:18:27:40 -0700] "GET /eventAdmin/tui.calendar-master/dist/tui-calendar.css HTTP/1.1" 200 31977
0:0:0:0:0:0:0:1 - - [13/Nov/2019:18:27:40 -0700] "GET /eventAdmin/tui.calendar-master/dist/tui-calendar.js HTTP/1.1" 200 307271
0:0:0:0:0:0:0:1 - - [13/Nov/2019:18:27:40 -0700] "GET /eventAdmin/tui.calendar-master/examples/js/data/dataeventadmin.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Nov/2019:18:27:40 -0700] "POST /eventAdmin/calendarSchedule HTTP/1.1" 200 352
0:0:0:0:0:0:0:1 - - [13/Nov/2019:18:27:40 -0700] "POST /eventAdmin/calendarSchedule HTTP/1.1" 200 2145
0:0:0:0:0:0:0:1 - - [13/Nov/2019:18:27:40 -0700] "GET /eventAdmin/tui.calendar-master/dist/tui-calendar.css.map HTTP/1.1" 200 104294
0:0:0:0:0:0:0:1 - - [13/Nov/2019:18:27:40 -0700] "GET /eventAdmin/tui.calendar-master/dist/tui-calendar.js.map HTTP/1.1" 200 1321130
0:0:0:0:0:0:0:1 - - [13/Nov/2019:18:27:40 -0700] "POST /eventAdmin/calendarSchedule HTTP/1.1" 200 7974
0:0:0:0:0:0:0:1 - - [13/Nov/2019:18:27:40 -0700] "POST /eventAdmin/calendarSchedule HTTP/1.1" 200 3907
0:0:0:0:0:0:0:1 - - [13/Nov/2019:18:27:41 -0700] "POST /eventAdmin/calendarSchedule HTTP/1.1" 200 3150
0:0:0:0:0:0:0:1 - - [13/Nov/2019:18:36:19 -0700] "GET /eventAdmin/calendar.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Nov/2019:18:36:19 -0700] "GET /eventAdmin/tui.calendar-master/dist/tui-calendar.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Nov/2019:18:36:19 -0700] "GET /eventAdmin/tui.calendar-master/dist/tui-calendar.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Nov/2019:18:36:19 -0700] "GET /eventAdmin/tui.calendar-master/examples/js/data/dataeventadmin.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Nov/2019:18:36:19 -0700] "POST /eventAdmin/calendarSchedule HTTP/1.1" 200 352
0:0:0:0:0:0:0:1 - - [13/Nov/2019:18:36:19 -0700] "POST /eventAdmin/calendarSchedule HTTP/1.1" 200 2145
0:0:0:0:0:0:0:1 - - [13/Nov/2019:18:36:19 -0700] "GET /eventAdmin/tui.calendar-master/dist/tui-calendar.js.map HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Nov/2019:18:36:19 -0700] "GET /eventAdmin/tui.calendar-master/dist/tui-calendar.css.map HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Nov/2019:18:36:19 -0700] "POST /eventAdmin/calendarSchedule HTTP/1.1" 200 7974
0:0:0:0:0:0:0:1 - - [13/Nov/2019:18:36:20 -0700] "POST /eventAdmin/calendarSchedule HTTP/1.1" 200 3907
0:0:0:0:0:0:0:1 - - [13/Nov/2019:18:36:20 -0700] "POST /eventAdmin/calendarSchedule HTTP/1.1" 200 3150
0:0:0:0:0:0:0:1 - - [13/Nov/2019:18:36:58 -0700] "GET /eventAdmin/links.jsp HTTP/1.1" 200 15703
0:0:0:0:0:0:0:1 - - [13/Nov/2019:18:36:58 -0700] "GET /eventAdmin/treeMenu.jsp HTTP/1.1" 200 963
0:0:0:0:0:0:0:1 - - [13/Nov/2019:18:36:58 -0700] "GET /eventAdmin/companyLogo.jsp HTTP/1.1" 200 754
0:0:0:0:0:0:0:1 - - [13/Nov/2019:18:36:58 -0700] "GET /eventAdmin/main.jsp HTTP/1.1" 200 726
0:0:0:0:0:0:0:1 - - [13/Nov/2019:18:36:58 -0700] "GET /files/uploadEventAdmin/company_logo_2_Logo%20Candilejas.png HTTP/1.1" 404 1015
0:0:0:0:0:0:0:1 - - [13/Nov/2019:18:37:00 -0700] "GET /eventAdmin/calendar.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Nov/2019:18:37:01 -0700] "POST /eventAdmin/calendarSchedule HTTP/1.1" 200 352
0:0:0:0:0:0:0:1 - - [13/Nov/2019:18:37:01 -0700] "POST /eventAdmin/calendarSchedule HTTP/1.1" 200 2145
0:0:0:0:0:0:0:1 - - [13/Nov/2019:18:37:01 -0700] "POST /eventAdmin/calendarSchedule HTTP/1.1" 200 7974
0:0:0:0:0:0:0:1 - - [13/Nov/2019:18:37:01 -0700] "POST /eventAdmin/calendarSchedule HTTP/1.1" 200 3907
0:0:0:0:0:0:0:1 - - [13/Nov/2019:18:37:01 -0700] "POST /eventAdmin/calendarSchedule HTTP/1.1" 200 3150
0:0:0:0:0:0:0:1 - - [13/Nov/2019:18:37:38 -0700] "GET /eventAdmin/calendar.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Nov/2019:18:37:38 -0700] "GET /eventAdmin/tui.calendar-master/dist/tui-calendar.css HTTP/1.1" 200 31977
0:0:0:0:0:0:0:1 - - [13/Nov/2019:18:37:38 -0700] "GET /eventAdmin/tui.calendar-master/dist/tui-calendar.js HTTP/1.1" 200 307271
0:0:0:0:0:0:0:1 - - [13/Nov/2019:18:37:38 -0700] "GET /eventAdmin/tui.calendar-master/dist/tui-calendar.css.map HTTP/1.1" 200 104294
0:0:0:0:0:0:0:1 - - [13/Nov/2019:18:37:38 -0700] "POST /eventAdmin/calendarSchedule HTTP/1.1" 200 352
0:0:0:0:0:0:0:1 - - [13/Nov/2019:18:37:38 -0700] "GET /eventAdmin/tui.calendar-master/dist/tui-calendar.js.map HTTP/1.1" 200 1321130
0:0:0:0:0:0:0:1 - - [13/Nov/2019:18:37:38 -0700] "POST /eventAdmin/calendarSchedule HTTP/1.1" 200 2145
0:0:0:0:0:0:0:1 - - [13/Nov/2019:18:39:03 -0700] "POST /eventAdmin/calendarSchedule HTTP/1.1" 200 7974
0:0:0:0:0:0:0:1 - - [13/Nov/2019:18:39:03 -0700] "POST /eventAdmin/calendarSchedule HTTP/1.1" 200 3907
0:0:0:0:0:0:0:1 - - [13/Nov/2019:18:39:03 -0700] "POST /eventAdmin/calendarSchedule HTTP/1.1" 200 3150
0:0:0:0:0:0:0:1 - - [13/Nov/2019:18:44:11 -0700] "GET /eventAdmin/calendar.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Nov/2019:18:44:11 -0700] "GET /eventAdmin/tui.calendar-master/dist/tui-calendar.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Nov/2019:18:44:11 -0700] "GET /eventAdmin/tui.calendar-master/dist/tui-calendar.js HTTP/1.1" 304 -
